Chrom	Window.midpoint	Kmer.num
2R	500000	0
2R	1500000	0
2R	2500000	0
2R	3500000	414
2R	4500000	0
2R	5500000	0
2R	6500000	0
2R	7500000	1
2R	8500000	1
2R	9500000	0
2R	10500000	0
2R	11500000	0
2R	12500000	0
2R	13500000	0
2R	14500000	0
2R	15500000	1
2R	16500000	0
2R	17500000	0
2R	18500000	0
2R	19500000	0
2R	20500000	0
2R	21500000	0
2R	22500000	0
2R	23500000	0
2R	24500000	0
2R	25500000	0
2R	26500000	0
2R	27500000	0
2R	28500000	0
2R	29500000	0
2R	30500000	1
2R	31500000	0
2R	32500000	0
2R	33500000	0
2R	34500000	0
2R	35500000	0
2R	36500000	0
2R	37500000	1
2R	38500000	0
2R	39500000	0
2R	40500000	0
2R	41500000	0
2R	42500000	0
2R	43500000	0
2R	44500000	0
2R	45500000	0
2R	46500000	0
2R	47500000	0
2R	48500000	0
2R	49500000	0
2R	50500000	0
2R	51500000	0
2R	52500000	1
2R	53500000	0
2R	54500000	0
2R	55500000	0
2R	56500000	0
2R	57500000	0
2R	58500000	0
2R	59500000	0
2R	60500000	0
2R	61272552.5	0
2L	500000	0
2L	1500000	0
2L	2500000	0
2L	3500000	0
2L	4500000	0
2L	5500000	0
2L	6500000	0
2L	7500000	0
2L	8500000	1
2L	9500000	0
2L	10500000	0
2L	11500000	0
2L	12500000	0
2L	13500000	0
2L	14500000	0
2L	15500000	0
2L	16500000	0
2L	17500000	0
2L	18500000	0
2L	19500000	0
2L	20500000	1
2L	21500000	0
2L	22500000	0
2L	23500000	2
2L	24500000	0
2L	25500000	0
2L	26500000	0
2L	27500000	0
2L	28500000	1
2L	29500000	0
2L	30500000	0
2L	31500000	0
2L	32500000	0
2L	33500000	0
2L	34500000	0
2L	35500000	0
2L	36500000	0
2L	37500000	0
2L	38500000	0
2L	39500000	0
2L	40500000	0
2L	41500000	0
2L	42500000	0
2L	43500000	0
2L	44500000	0
2L	45500000	0
2L	46500000	0
2L	47500000	1
2L	48500000	0
2L	49182162.5	0
3R	500000	0
3R	1500000	0
3R	2500000	0
3R	3500000	1
3R	4500000	0
3R	5500000	0
3R	6500000	0
3R	7500000	0
3R	8500000	1
3R	9500000	0
3R	10500000	0
3R	11500000	0
3R	12500000	0
3R	13500000	0
3R	14500000	0
3R	15500000	0
3R	16500000	0
3R	17500000	0
3R	18500000	0
3R	19500000	0
3R	20500000	0
3R	21500000	0
3R	22500000	0
3R	23500000	0
3R	24500000	0
3R	25500000	0
3R	26500000	0
3R	27500000	0
3R	28500000	1
3R	29500000	1
3R	30500000	0
3R	31500000	0
3R	32500000	0
3R	33500000	0
3R	34500000	0
3R	35500000	0
3R	36500000	0
3R	37500000	0
3R	38500000	0
3R	39500000	0
3R	40500000	0
3R	41500000	0
3R	42500000	0
3R	43500000	1
3R	44500000	0
3R	45500000	0
3R	46500000	0
3R	47500000	0
3R	48500000	0
3R	49500000	0
3R	50500000	0
3R	51500000	0
3R	52500000	0
3R	53100342	0
3L	500000	1
3L	1500000	0
3L	2500000	0
3L	3500000	0
3L	4500000	0
3L	5500000	0
3L	6500000	0
3L	7500000	0
3L	8500000	0
3L	9500000	0
3L	10500000	0
3L	11500000	0
3L	12500000	1
3L	13500000	0
3L	14500000	0
3L	15500000	0
3L	16500000	0
3L	17500000	0
3L	18500000	0
3L	19500000	1
3L	20500000	0
3L	21500000	0
3L	22500000	0
3L	23500000	0
3L	24500000	0
3L	25500000	1
3L	26500000	0
3L	27500000	0
3L	28500000	0
3L	29500000	0
3L	30500000	0
3L	31500000	0
3L	32500000	0
3L	33500000	0
3L	34500000	0
3L	35500000	0
3L	36500000	0
3L	37500000	0
3L	38500000	0
3L	39500000	0
3L	40500000	0
3L	41481717.5	0
X	500000	0
X	1500000	1
X	2500000	0
X	3500000	0
X	4500000	0
X	5500000	0
X	6500000	0
X	7500000	0
X	8500000	3
X	9500000	0
X	10500000	0
X	11500000	0
X	12500000	0
X	13500000	0
X	14500000	0
X	15500000	0
X	16500000	0
X	17500000	0
X	18500000	0
X	19500000	0
X	20500000	0
X	21500000	0
X	22500000	0
X	23500000	0
X	24196554	0
