model	var	OR	OR_CIdo	OR_CIup	coef	coef_CIdo	coef_CIup	zscore	p
full col Aboisso  Ivory Coast	Intercept	0.0243902439153603	0.00335513741975815	0.17730540476451	3.71357206617453	1.72988158264122	5.69726254970785	3.66915482234496	0.000243353675163445
full col Aboisso  Ivory Coast	Ace1GS	35.1428571242394	3.65386215206567	338.004105096438	-3.55942138634728	-5.823058040665	-1.29578473202955	-3.08191586743192	0.00205672959216109
full col Korle-Bu Ghana	Intercept	0.111111112997642	0.0395523110361261	0.312135475985173	2.19722456035744	1.16431796751677	3.23013115319811	4.16928407088959	3.0555795073743e-05
full col Korle-Bu Ghana	Ace1GS	7.91999986552807	2.73239315694364	22.9565784523221	-2.06939118884756	-3.13360453823506	-1.00517783946005	-3.81120214513385	0.000138292618375276
full col Korle-Bu Ghana	Ace1SS	103.499919731033	17.5333015410056	610.96498906822	-4.63957083715955	-6.41503965649582	-2.86410201782328	-5.12168484488197	3.02817695139327e-07
full col Madina Ghana	Intercept	0.999999999999999	0.0625488361661124	15.9875077026897	1.11325898535079e-15	-2.77180764869935	2.77180764869935	7.871929777584e-16	0.999999999999999
full col Madina Ghana	Ace1GS	0.370370370370371	0.0211007579529668	6.50091392707525	0.993251773010283	-1.87194277118318	3.85844631720374	0.679443462792404	0.496856919043409
full col Madina Ghana	Ace1SS	42544812.3383961	0	Inf	-17.5660684863593	-4494.32414719314	4459.19201022042	-0.00769057898102321	0.99386386625441
full col Weija Ghana	Intercept	0.153846153846154	0.0730835527694889	0.323857258662659	1.87180217690159	1.12745241994789	2.61615193385529	4.92868415504698	8.27852805618521e-07
full col Weija Ghana	Ace1GS	7.68181818181818	3.19616198137973	18.4628723207072	-2.03885626156476	-2.91576181397547	-1.16195070915405	-4.55702992338823	5.18820350952604e-06
full col Weija Ghana	Ace1SS	37425783.591224	0	Inf	-17.437870425692	-2869.96471427481	2835.08897342343	-0.0119815166946209	0.99044036154
full gam Aboisso  Ivory Coast	Intercept	0.5	0.0453383050032719	5.51410115534665	0.693147180559945	-1.70730865761771	3.0936030187376	0.565952303006888	0.571426204958315
full gam Aboisso  Ivory Coast	Ace1GS	6.99999999999999	0.573895720792567	85.3813649844425	-1.94591014905531	-4.44712786837048	0.555307570259851	-1.52482280124884	0.127303301126162
full gam Aboisso  Ivory Coast	Ace1SS	65.9999999992361	2.9210917906575	1491.22325215213	-4.18965474201485	-7.30735203672293	-1.07195744730677	-2.63385814137399	0.00844207509113749
full gam Baguida Togo	Intercept	1.33333333333333	0.462633804306897	3.84273211604411	-0.287682072451781	-1.3461836021648	0.770819457261237	-0.532683690269398	0.594252558099826
full gam Baguida Togo	Ace1SS	0.986842105263158	0.315784595904425	3.08392921425137	0.0132452267500209	-1.12620450286029	1.15269495636034	0.0227830739018085	0.981823309590824
full gam Madina Ghana	Intercept	0.117647058823529	0.0271812619100155	0.509204852064907	2.14006616349627	0.674904883544388	3.60522744344816	2.86279241908662	0.00419925574765106
full gam Madina Ghana	Ace1GS	12.1956521739131	2.6867435106423	55.3584409371156	-2.5010795090336	-4.01382914864976	-0.98832986941744	-3.24047392364331	0.00119331186037529
full gam Madina Ghana	Ace1SS	983014740.440045	0	Inf	-20.7061346733602	-2017.25340024172	1975.841130895	-0.0203267305105692	0.983782732325932
full gam Obuasi Ghana	Intercept	0.217391304347827	0.0826474397346325	0.571814194823098	1.52605630349505	0.558941174597757	2.49317143239234	3.09271906090539	0.00198331794280342
full gam Obuasi Ghana	Ace1SS	6.59999999999998	2.33794239826004	18.631767845272	-1.88706964903238	-2.92486807250399	-0.849271225560766	-3.56387952108242	0.000365413724912745
full gam Weija Ghana	Intercept	1.17022649571609e-09	0	Inf	20.56606852079	-13114.0344126529	13155.1665496945	0.00306889833932196	0.997551377239959
full gam Weija Ghana	Ace1GS	2563606285.60564	0	Inf	-21.6646808094581	-13156.2653569622	13112.9359953433	-0.00323283479795378	0.99742057552011
full gam Weija Ghana	Ace1SS	730230799285329408	0	Inf	-41.1321370424886	-27903.8273519554	27821.5630778704	-0.00289338510106857	0.997691415920521
full gam	Intercept	0.115384616336238	0.0349267024195027	0.38118713662549	2.15948424110598	0.964464852195659	3.3545036300163	3.54179302614408	0.000397417174137976
full gam	Ace1GS	11.7906975771761	3.45662671356458	40.2185601386686	-2.46731087965022	-3.69432858406839	-1.24029317523206	-3.94113340448609	8.10975052749295e-05
full gam	Ace1SS	19.5764704267633	5.76804415367787	66.4416194050065	-2.97432835664257	-4.19632365839457	-1.75233305489057	-4.77053917380668	1.8373344783224e-06
full col	Intercept	0.111111111111111	0.0651763109915624	0.18941972665412	2.19722457733622	1.6637899502529	2.73065920441954	8.07311865199294	6.85249576294732e-16
full col	Ace1GS	7.734375	4.36273905262297	13.7116971515084	-2.04567467920902	-2.61824927522794	-1.47310008319009	-7.00249141895685	2.51450291099417e-12
full col	Ace1SS	121.49999999864	26.2520188449984	562.328180808924	-4.79991426276941	-6.33208563107759	-3.26774289446122	-6.14008281220922	8.2478471793049e-10
