serial no	ratio_FAM_HEX	CNV_estimate
2058	4.100	2.140
2060	4.000	2.080
2061	3.800	2.170
2078	4.100	2.660
2091	4.300	2.370
2093	4.100	2.260
2094	4.100	2.750
2098	4.300	3.300
2117	4.600	2.320
2129	3.800	2.640
2135	4.400	2.280
2136	3.600	2.790
2137	4.300	2.120
2139	3.600	1.710
2153	3.800	1.970
2154	3.900	1.620
2155	4.000	1.710
2157	3.800	2.320
2160	4.800	2.430
2161	4.500	2.230
2162	4.700	1.950
2164	4.300	1.990
2174	4.500	5.740
2175	4.100	1.750
2176	4.900	2.620
2179	4.100	2.180
2180	4.200	2.490
2181	4.500	2.830
2182	3.900	2.340
2183	4.100	1.750
2185	5.000	5.650
2064	2.500	3.990
2077	1.900	4.080
2079	4.100	2.810
2111	1.700	1.850
2116	1.800	0.620
2122	1.900	1.270
2134	1.000	0.360
2143	4.400	1.400
2170	3.900	3.400
2173	4.100	1.940
2189	4.500	3.270
2199	4.600	1.590
2221	4.100	2.510
1942	3.200	1.270
1943	4.400	3.290
1944	4.500	3.060
1952	3.800	1.260
1955	3.800	2.390
1990	4.600	4.710
1999	4.200	2.730
2001	4.400	3.190
2002	4.300	3.460
2003	4.300	3.920
2004	4.100	2.890
2023	3.900	3.050
2024	4.100	2.640
197	4.200	1.570
198	4.300	1.400
199	2.400	1.590
201	4.400	1.170
202	1.700	0.770
203	2.400	1.290
206	5.700	2.090
209	3.700	1.160
220	5.700	2.160
218	6.200	1.930
219	9.600	1.950
222	6.700	2.800
224	7.900	2.190
237	6.900	2.240
249	6.600	2.200
253	6.500	2.060
256	5.800	1.390
261	5.700	1.600
262	6.600	1.720
1049	1.670	2.000
1053	1.640	1.000
1054	1.710	0.630
1055	1.640	0.380
1056	1.860	0.390
1057	1.630	1.210
1058	1.730	1.150
1059	1.720	1.430
1061	1.400	3.530
1063	2.880	1.820
1064	1.710	2.360
1065	1.630	2.830
1067	2.390	1.860
1068	4.170	4.680
1069	1.800	1.510
1070	1.680	1.820
1145	4.600	3.340
1148	8.190	1.200
1150	3.720	1.520
1151	4.260	2.560
1152	3.780	1.360
1153	4.140	1.930
1154	4.680	1.650
1155	4.270	1.720
1157	4.330	4.820
1159	4.070	3.590
1160	4.690	6.620
1162	3.820	2.100
1163	3.830	3.830
1165	4.140	3.700
344	1.470	0.950
345	3.380	1.620
346	6.340	1.520
347	5.410	1.470
348	2.730	1.010
349	2.300	0.860
350	6.780	1.850
351	1.600	0.450
352	2.010	0.880
442	7.460	2.930
443	5.690	3.270
446	6.980	2.830
447	8.160	3.080
448	7.920	3.090
450	7.360	2.660
451	8.050	3.820
909	6.770	1.470
911	6.460	2.300
912	8.980	2.270
913	8.800	3.680
915	6.390	1.020
916	7.030	2.160
917	6.200	1.430
922	6.110	0.650
928	5.790	2.310
930	6.060	3.140
931	2.530	1.670
933	6.820	3.960
934	8.760	2.410
936	5.920	2.640
940	7.240	2.720
942	7.210	1.000
945	2.480	0.680
954	5.990	3.210
961	7.270	4.600
966	7.170	5.130
974	8.710	1.260
976	7.140	4.640
977	8.020	4.410
979	8.560	6.330
996	8.540	8.970
1014	7.780	2.980
1043	7.920	2.760
667	7.320	0.890
668	6.190	1.480
671	2.690	1.760
672	2.950	1.140
674	2.380	1.160
675	3.400	2.620
676	3.520	5.890
677	7.820	1.470
680	2.550	1.950
681	2.510	1.730
684	2.360	1.880
565	3.470	4.040
569	2.520	2.130
570	2.480	1.310
572	2.420	2.150
580	2.600	3.510
581	2.350	1.390
587	2.570	2.180
593	2.530	3.850
597	2.360	4.330
598	2.750	3.240
599	2.410	0.900
